Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of Ownership,Industry,Sector,Revenue,Competitors
Human Resources Coordinator,$126k-$226k,"Manage recruitment, training, and employee relations.",3.9,Data Wizards,"New York, NY","Boston, MA",51-200 employees,1966,Non-profit Organization,Human Resources,"Arts, Entertainment & Recreation",More than $50 million,None
Digital Media Manager,$87k-$232k,Manage online content and social media presence.,1.2,Support Central,"Austin, TX","Seattle, WA",501-1000 employees,1914,Public,Finance,Government,Less than $1 million,None
Human Resources Coordinator,$51k-$196k,"Manage recruitment, training, and employee relations.",4.7,Global Sales Group,"Denver, CO","Washington, DC",501-1000 employees,1946,Non-profit Organization,Logistics,Retail,$10 to $25 million,None
Security Analyst,$59k-$152k,Protect systems against cyber threats and ensure data security.,3.3,Tech Innovate,"Boston, MA","Austin, TX",1-50 employees,2018,Private,Cybersecurity,Real Estate,$25 to $50 million,None
Data Scientist,$130k-$241k,Analyze large datasets to uncover actionable insights.,3.0,Media Magic,"Denver, CO","Denver, CO",1-50 employees,1981,Non-profit Organization,Human Resources,Government,$1 to $5 million,None
Data Scientist,$60k-$189k,Analyze large datasets to uncover actionable insights.,1.3,Support Central,"Austin, TX","Chicago, IL",1001-5000 employees,1941,Subsidiary or Business Segment,Management Consulting,Business Services,$5 to $10 million,None
Web Developer,$105k-$243k,Build and maintain websites to enhance user experience.,4.8,Design Dreams,"New York, NY","Austin, TX",1-50 employees,2018,Subsidiary or Business Segment,Marketing,Media,$25 to $50 million,None
Project Manager,$57k-$189k,Oversee project lifecycle from initiation to closure.,3.7,Supply Chain Co.,"Chicago, IL","San Francisco, CA",1-50 employees,1990,Public,Software Development,Technology,$1 to $5 million,None
Financial Analyst,$94k-$216k,Conduct financial analysis and report on budgeting.,3.1,Office Organizers,"Boston, MA","Chicago, IL",201-500 employees,1916,Government,Software Development,Business Services,Less than $1 million,None
Network Administrator,$104k-$184k,Maintain and troubleshoot company network issues.,3.1,Data Wizards,"Washington, DC","San Francisco, CA",501-1000 employees,1958,Non-profit Organization,Networking & Security,Technology,$10 to $25 million,None
Administrative Assistant,$122k-$171k,Provide administrative support to ensure efficient office operations.,2.5,Data Wizards,"San Francisco, CA","Washington, DC",1-50 employees,1929,Non-profit Organization,IT Services,Technology,Less than $1 million,None
Graphic Designer,$55k-$210k,Design visual content for digital and print media.,2.5,Support Central,"Chicago, IL","Chicago, IL",1-50 employees,1970,Subsidiary or Business Segment,Graphic Design,Insurance,$1 to $5 million,None
Digital Media Manager,$142k-$190k,Manage online content and social media presence.,2.1,Market Movers,"Washington, DC","Los Angeles, CA",1-50 employees,1964,Private,Consumer Products,"Arts, Entertainment & Recreation",$25 to $50 million,None
Software Developer,$101k-$158k,Develop and maintain software applications based on client requirements.,4.5,Office Organizers,"Boston, MA","Boston, MA",201-500 employees,1911,Non-profit Organization,Finance,Technology,$5 to $10 million,None
Graphic Designer,$87k-$222k,Design visual content for digital and print media.,4.1,Web Wonders,"Washington, DC","Austin, TX",501-1000 employees,1947,Non-profit Organization,Finance,"Arts, Entertainment & Recreation",More than $50 million,None
Customer Support Representative,$119k-$247k,Handle customer inquiries and resolve issues promptly.,4.2,Global Sales Group,"New York, NY","Denver, CO",1-50 employees,1929,Non-profit Organization,Networking & Security,Technology,$5 to $10 million,None
Software Developer,$147k-$234k,Develop and maintain software applications based on client requirements.,2.5,Web Wonders,"Boston, MA","San Francisco, CA",51-200 employees,1967,Public,Digital Media,Media,Less than $1 million,None
Sales Manager,$141k-$185k,Lead sales teams to achieve targets through strategic planning.,1.4,Support Central,"Austin, TX","Atlanta, GA",501-1000 employees,1989,Government,Finance,Business Services,$25 to $50 million,None
Marketing Specialist,$114k-$167k,Create and execute marketing strategies to enhance brand awareness.,3.5,Media Magic,"San Francisco, CA","Washington, DC",1001-5000 employees,1907,Subsidiary or Business Segment,Logistics,Retail,$1 to $5 million,None
Data Scientist,$83k-$190k,Analyze large datasets to uncover actionable insights.,4.7,Media Magic,"Los Angeles, CA","Los Angeles, CA",501-1000 employees,1934,Public,Marketing,"Arts, Entertainment & Recreation",$1 to $5 million,None
Security Analyst,$148k-$224k,Protect systems against cyber threats and ensure data security.,1.4,Market Movers,"Chicago, IL","Seattle, WA",501-1000 employees,1940,Subsidiary or Business Segment,Marketing,Non-Profit,$5 to $10 million,None
Security Analyst,$76k-$207k,Protect systems against cyber threats and ensure data security.,2.2,Data Wizards,"San Francisco, CA","San Francisco, CA",51-200 employees,2003,Government,Administrative Services,Government,Less than $1 million,None
Graphic Designer,$91k-$168k,Design visual content for digital and print media.,1.4,Design Dreams,"Los Angeles, CA","Denver, CO",1001-5000 employees,1906,Government,Research & Development,Retail,Less than $1 million,None
Digital Media Manager,$107k-$221k,Manage online content and social media presence.,4.0,Design Dreams,"San Francisco, CA","Seattle, WA",1-50 employees,2002,Public,Marketing,Technology,Less than $1 million,None
Administrative Assistant,$149k-$178k,Provide administrative support to ensure efficient office operations.,1.5,Office Organizers,"Denver, CO","Los Angeles, CA",1-50 employees,1974,Non-profit Organization,Research & Development,Business Services,Less than $1 million,None
Marketing Specialist,$75k-$232k,Create and execute marketing strategies to enhance brand awareness.,2.8,Global Sales Group,"San Francisco, CA","Los Angeles, CA",1-50 employees,1905,Subsidiary or Business Segment,IT Services,Retail,$25 to $50 million,None
Digital Media Manager,$142k-$200k,Manage online content and social media presence.,3.0,Media Magic,"Denver, CO","Chicago, IL",201-500 employees,1927,Public,Research & Development,Biotech & Pharmaceuticals,$10 to $25 million,None
Customer Support Representative,$69k-$154k,Handle customer inquiries and resolve issues promptly.,3.5,Plan Pros,"Austin, TX","Boston, MA",501-1000 employees,1952,Non-profit Organization,Finance,Technology,Less than $1 million,None
Data Scientist,$99k-$167k,Analyze large datasets to uncover actionable insights.,2.7,Supply Chain Co.,"Atlanta, GA","Austin, TX",1001-5000 employees,2001,Private,Digital Media,Insurance,$10 to $25 million,None
Human Resources Coordinator,$150k-$212k,"Manage recruitment, training, and employee relations.",2.4,Plan Pros,"Atlanta, GA","Los Angeles, CA",501-1000 employees,1934,Public,IT Services,Insurance,$25 to $50 million,None
Graphic Designer,$53k-$249k,Design visual content for digital and print media.,2.1,Secure Systems,"Seattle, WA","Atlanta, GA",201-500 employees,1998,Non-profit Organization,Graphic Design,Retail,Less than $1 million,None
Graphic Designer,$134k-$180k,Design visual content for digital and print media.,2.1,Office Organizers,"New York, NY","Austin, TX",1001-5000 employees,2008,Subsidiary or Business Segment,Networking & Security,Retail,$1 to $5 million,None
Graphic Designer,$125k-$190k,Design visual content for digital and print media.,4.2,Web Wonders,"Los Angeles, CA","Washington, DC",1-50 employees,1990,Government,Management Consulting,Government,$1 to $5 million,None
Project Manager,$74k-$213k,Oversee project lifecycle from initiation to closure.,3.2,Global Sales Group,"Seattle, WA","New York, NY",1-50 employees,1907,Public,Management Consulting,"Arts, Entertainment & Recreation",Less than $1 million,None
Human Resources Coordinator,$111k-$150k,"Manage recruitment, training, and employee relations.",2.3,Plan Pros,"Austin, TX","Chicago, IL",201-500 employees,1991,Public,Customer Service,Insurance,Less than $1 million,None
Software Developer,$68k-$225k,Develop and maintain software applications based on client requirements.,3.8,Global Sales Group,"San Francisco, CA","Atlanta, GA",201-500 employees,1909,Government,Software Development,Real Estate,$25 to $50 million,None
Marketing Specialist,$93k-$188k,Create and execute marketing strategies to enhance brand awareness.,2.3,Global Sales Group,"Denver, CO","Seattle, WA",201-500 employees,1922,Non-profit Organization,Software Development,Government,$5 to $10 million,None
Graphic Designer,$135k-$225k,Design visual content for digital and print media.,4.3,Media Magic,"Boston, MA","Boston, MA",51-200 employees,1922,Private,Software Development,Government,$10 to $25 million,None
Administrative Assistant,$148k-$222k,Provide administrative support to ensure efficient office operations.,1.1,Plan Pros,"Los Angeles, CA","Washington, DC",51-200 employees,1981,Non-profit Organization,Marketing,Media,$1 to $5 million,None
Network Administrator,$145k-$159k,Maintain and troubleshoot company network issues.,2.0,Net Solutions,"Chicago, IL","San Francisco, CA",201-500 employees,1957,Private,Research & Development,"Arts, Entertainment & Recreation",$1 to $5 million,None
Web Developer,$58k-$194k,Build and maintain websites to enhance user experience.,2.0,Market Movers,"New York, NY","New York, NY",501-1000 employees,1956,Subsidiary or Business Segment,Consumer Products,Real Estate,$10 to $25 million,None
Customer Support Representative,$98k-$194k,Handle customer inquiries and resolve issues promptly.,3.2,Market Movers,"Seattle, WA","Washington, DC",51-200 employees,1920,Subsidiary or Business Segment,Marketing,Technology,$5 to $10 million,None
Software Developer,$90k-$183k,Develop and maintain software applications based on client requirements.,4.8,Market Movers,"Los Angeles, CA","Chicago, IL",501-1000 employees,1920,Private,Human Resources,Business Services,$5 to $10 million,None
Project Manager,$128k-$211k,Oversee project lifecycle from initiation to closure.,3.8,Media Magic,"Chicago, IL","Washington, DC",501-1000 employees,1920,Private,Marketing,Insurance,$1 to $5 million,None
Graphic Designer,$102k-$239k,Design visual content for digital and print media.,3.2,Support Central,"Atlanta, GA","Boston, MA",201-500 employees,1938,Public,Marketing,Technology,$10 to $25 million,None
Project Manager,$120k-$212k,Oversee project lifecycle from initiation to closure.,1.6,Net Solutions,"New York, NY","Denver, CO",1-50 employees,1937,Non-profit Organization,Finance,"Arts, Entertainment & Recreation",Less than $1 million,None
Software Developer,$76k-$171k,Develop and maintain software applications based on client requirements.,3.6,Market Movers,"Seattle, WA","San Francisco, CA",201-500 employees,2000,Subsidiary or Business Segment,Finance,Media,More than $50 million,None
Data Scientist,$61k-$232k,Analyze large datasets to uncover actionable insights.,3.2,Global Sales Group,"Los Angeles, CA","Denver, CO",201-500 employees,1923,Subsidiary or Business Segment,IT Services,Biotech & Pharmaceuticals,$10 to $25 million,None
Financial Analyst,$83k-$178k,Conduct financial analysis and report on budgeting.,4.3,Plan Pros,"New York, NY","Chicago, IL",1-50 employees,1910,Government,Cybersecurity,Non-Profit,$10 to $25 million,None
Security Analyst,$125k-$179k,Protect systems against cyber threats and ensure data security.,3.2,Office Organizers,"Denver, CO","Atlanta, GA",501-1000 employees,1968,Subsidiary or Business Segment,Management Consulting,"Arts, Entertainment & Recreation",$10 to $25 million,None
Data Scientist,$60k-$200k,Analyze large datasets to uncover actionable insights.,4.6,Web Wonders,"New York, NY","Atlanta, GA",1001-5000 employees,2015,Non-profit Organization,Cybersecurity,Government,More than $50 million,None
Project Manager,$68k-$165k,Oversee project lifecycle from initiation to closure.,4.8,Finance First,"Chicago, IL","Chicago, IL",51-200 employees,2003,Public,Consumer Products,Technology,$10 to $25 million,None
Marketing Specialist,$137k-$205k,Create and execute marketing strategies to enhance brand awareness.,1.8,Office Organizers,"Chicago, IL","Washington, DC",201-500 employees,1940,Private,Marketing,Real Estate,$25 to $50 million,None
Digital Media Manager,$120k-$191k,Manage online content and social media presence.,4.4,People Partners,"Seattle, WA","New York, NY",1001-5000 employees,1975,Non-profit Organization,Cybersecurity,Real Estate,Less than $1 million,None
Digital Media Manager,$69k-$168k,Manage online content and social media presence.,3.3,Plan Pros,"San Francisco, CA","San Francisco, CA",1001-5000 employees,1999,Private,Cybersecurity,Biotech & Pharmaceuticals,$25 to $50 million,None
Customer Support Representative,$94k-$202k,Handle customer inquiries and resolve issues promptly.,2.1,Supply Chain Co.,"Seattle, WA","Washington, DC",1001-5000 employees,1960,Private,Consumer Products,Biotech & Pharmaceuticals,$10 to $25 million,None
Sales Manager,$129k-$227k,Lead sales teams to achieve targets through strategic planning.,3.7,Media Magic,"New York, NY","Denver, CO",201-500 employees,1988,Public,IT Services,Media,$5 to $10 million,None
Customer Support Representative,$97k-$152k,Handle customer inquiries and resolve issues promptly.,2.4,Secure Systems,"Boston, MA","Boston, MA",201-500 employees,2007,Subsidiary or Business Segment,Administrative Services,Business Services,$1 to $5 million,None
Sales Manager,$88k-$245k,Lead sales teams to achieve targets through strategic planning.,2.8,Office Organizers,"Los Angeles, CA","Boston, MA",501-1000 employees,1977,Private,Graphic Design,Media,$1 to $5 million,None
Customer Support Representative,$102k-$244k,Handle customer inquiries and resolve issues promptly.,2.9,People Partners,"Los Angeles, CA","New York, NY",1001-5000 employees,2001,Public,Marketing,Biotech & Pharmaceuticals,More than $50 million,None
Human Resources Coordinator,$101k-$167k,"Manage recruitment, training, and employee relations.",4.1,People Partners,"Washington, DC","New York, NY",51-200 employees,1924,Public,Administrative Services,Technology,$1 to $5 million,None
Software Developer,$108k-$156k,Develop and maintain software applications based on client requirements.,4.7,Web Wonders,"Austin, TX","Boston, MA",201-500 employees,2005,Subsidiary or Business Segment,Human Resources,Real Estate,More than $50 million,None
Customer Support Representative,$65k-$237k,Handle customer inquiries and resolve issues promptly.,1.1,Net Solutions,"Seattle, WA","Washington, DC",501-1000 employees,1922,Subsidiary or Business Segment,Management Consulting,Non-Profit,$5 to $10 million,None
Network Administrator,$70k-$183k,Maintain and troubleshoot company network issues.,4.0,Web Wonders,"San Francisco, CA","Boston, MA",1-50 employees,1949,Private,Consumer Products,Government,$1 to $5 million,None
Administrative Assistant,$78k-$232k,Provide administrative support to ensure efficient office operations.,1.9,Design Dreams,"Boston, MA","Denver, CO",1001-5000 employees,1902,Private,Finance,Retail,More than $50 million,None
Sales Manager,$126k-$151k,Lead sales teams to achieve targets through strategic planning.,1.9,Plan Pros,"Boston, MA","Boston, MA",501-1000 employees,2014,Subsidiary or Business Segment,Administrative Services,Insurance,$10 to $25 million,None
Data Scientist,$77k-$209k,Analyze large datasets to uncover actionable insights.,2.2,People Partners,"Washington, DC","Denver, CO",1001-5000 employees,1913,Private,Human Resources,Insurance,$25 to $50 million,None
Supply Chain Analyst,$126k-$227k,Optimize supply chain processes to improve efficiency.,2.1,Supply Chain Co.,"San Francisco, CA","Seattle, WA",1-50 employees,1943,Government,Logistics,Insurance,$5 to $10 million,None
Data Scientist,$133k-$241k,Analyze large datasets to uncover actionable insights.,4.8,Supply Chain Co.,"Boston, MA","Austin, TX",51-200 employees,1966,Public,Customer Service,Technology,$25 to $50 million,None
Digital Media Manager,$134k-$190k,Manage online content and social media presence.,3.7,Web Wonders,"New York, NY","Seattle, WA",201-500 employees,1933,Subsidiary or Business Segment,Digital Media,Real Estate,More than $50 million,None
Software Developer,$124k-$240k,Develop and maintain software applications based on client requirements.,5.0,Office Organizers,"Austin, TX","Los Angeles, CA",51-200 employees,1987,Non-profit Organization,Logistics,Media,More than $50 million,None
Network Administrator,$114k-$188k,Maintain and troubleshoot company network issues.,4.4,Office Organizers,"Atlanta, GA","Chicago, IL",201-500 employees,1912,Subsidiary or Business Segment,Consumer Products,Biotech & Pharmaceuticals,More than $50 million,None
Security Analyst,$121k-$247k,Protect systems against cyber threats and ensure data security.,4.7,Supply Chain Co.,"Los Angeles, CA","San Francisco, CA",51-200 employees,1945,Public,Software Development,Biotech & Pharmaceuticals,$10 to $25 million,None
Security Analyst,$92k-$197k,Protect systems against cyber threats and ensure data security.,2.0,Data Wizards,"Seattle, WA","San Francisco, CA",501-1000 employees,1906,Non-profit Organization,Management Consulting,Government,Less than $1 million,None
Financial Analyst,$74k-$214k,Conduct financial analysis and report on budgeting.,1.5,Supply Chain Co.,"Denver, CO","Atlanta, GA",201-500 employees,1952,Private,Administrative Services,Retail,$1 to $5 million,None
Graphic Designer,$93k-$202k,Design visual content for digital and print media.,4.9,Support Central,"Seattle, WA","Chicago, IL",201-500 employees,2010,Public,Cybersecurity,Business Services,$10 to $25 million,None
Network Administrator,$130k-$172k,Maintain and troubleshoot company network issues.,2.3,Tech Innovate,"New York, NY","Seattle, WA",201-500 employees,1926,Public,Management Consulting,Retail,$10 to $25 million,None
Security Analyst,$147k-$249k,Protect systems against cyber threats and ensure data security.,1.4,Plan Pros,"Denver, CO","Denver, CO",501-1000 employees,1954,Subsidiary or Business Segment,Digital Media,Technology,Less than $1 million,None
Human Resources Coordinator,$75k-$243k,"Manage recruitment, training, and employee relations.",2.5,Tech Innovate,"Los Angeles, CA","Atlanta, GA",51-200 employees,1902,Private,Logistics,"Arts, Entertainment & Recreation",$1 to $5 million,None
Web Developer,$94k-$189k,Build and maintain websites to enhance user experience.,1.5,Media Magic,"Atlanta, GA","Washington, DC",201-500 employees,1921,Private,Administrative Services,Technology,$5 to $10 million,None
Data Scientist,$108k-$243k,Analyze large datasets to uncover actionable insights.,3.1,People Partners,"Los Angeles, CA","Denver, CO",51-200 employees,1943,Subsidiary or Business Segment,Networking & Security,"Arts, Entertainment & Recreation",$1 to $5 million,None
Customer Support Representative,$101k-$152k,Handle customer inquiries and resolve issues promptly.,1.9,Web Wonders,"Chicago, IL","Austin, TX",1-50 employees,1975,Non-profit Organization,Consumer Products,Business Services,$5 to $10 million,None
Web Developer,$133k-$154k,Build and maintain websites to enhance user experience.,2.5,Supply Chain Co.,"Boston, MA","Atlanta, GA",1001-5000 employees,1906,Non-profit Organization,IT Services,Business Services,More than $50 million,None
Administrative Assistant,$52k-$156k,Provide administrative support to ensure efficient office operations.,3.8,Media Magic,"Seattle, WA","Denver, CO",1-50 employees,1970,Government,Finance,Retail,$1 to $5 million,None
Web Developer,$137k-$230k,Build and maintain websites to enhance user experience.,1.0,Media Magic,"San Francisco, CA","Atlanta, GA",201-500 employees,1979,Non-profit Organization,Software Development,Retail,$10 to $25 million,None
Administrative Assistant,$63k-$215k,Provide administrative support to ensure efficient office operations.,3.9,Market Movers,"Boston, MA","San Francisco, CA",1-50 employees,1963,Public,Management Consulting,"Arts, Entertainment & Recreation",$5 to $10 million,None
Administrative Assistant,$116k-$175k,Provide administrative support to ensure efficient office operations.,2.4,Media Magic,"Boston, MA","Chicago, IL",1-50 employees,1970,Subsidiary or Business Segment,Customer Service,"Arts, Entertainment & Recreation",More than $50 million,None
Customer Support Representative,$111k-$192k,Handle customer inquiries and resolve issues promptly.,1.9,Tech Innovate,"San Francisco, CA","San Francisco, CA",1001-5000 employees,1985,Subsidiary or Business Segment,Consumer Products,Business Services,$25 to $50 million,None
Marketing Specialist,$142k-$242k,Create and execute marketing strategies to enhance brand awareness.,1.4,Data Wizards,"Austin, TX","Seattle, WA",201-500 employees,1933,Subsidiary or Business Segment,IT Services,Business Services,$1 to $5 million,None
Administrative Assistant,$55k-$187k,Provide administrative support to ensure efficient office operations.,2.4,Supply Chain Co.,"Los Angeles, CA","Denver, CO",1-50 employees,1912,Private,IT Services,Retail,More than $50 million,None
Supply Chain Analyst,$71k-$192k,Optimize supply chain processes to improve efficiency.,2.4,Finance First,"Washington, DC","Boston, MA",1-50 employees,1947,Government,Consumer Products,Business Services,$10 to $25 million,None
Digital Media Manager,$108k-$184k,Manage online content and social media presence.,4.3,Web Wonders,"Seattle, WA","Denver, CO",51-200 employees,1914,Public,Software Development,Technology,$1 to $5 million,None
Marketing Specialist,$103k-$225k,Create and execute marketing strategies to enhance brand awareness.,2.9,Plan Pros,"Seattle, WA","Chicago, IL",1001-5000 employees,1948,Government,Management Consulting,Technology,More than $50 million,None
Customer Support Representative,$143k-$166k,Handle customer inquiries and resolve issues promptly.,2.9,Finance First,"San Francisco, CA","Denver, CO",501-1000 employees,1905,Private,Research & Development,Insurance,Less than $1 million,None
Web Developer,$136k-$217k,Build and maintain websites to enhance user experience.,4.1,Plan Pros,"Washington, DC","Austin, TX",201-500 employees,1966,Non-profit Organization,Software Development,Government,Less than $1 million,None
Digital Media Manager,$134k-$243k,Manage online content and social media presence.,2.0,Net Solutions,"Denver, CO","Chicago, IL",1001-5000 employees,2014,Non-profit Organization,IT Services,Technology,More than $50 million,None
Customer Support Representative,$70k-$214k,Handle customer inquiries and resolve issues promptly.,4.4,Office Organizers,"Seattle, WA","Chicago, IL",1-50 employees,1996,Subsidiary or Business Segment,Networking & Security,"Arts, Entertainment & Recreation",$5 to $10 million,None
Data Scientist,$56k-$214k,Analyze large datasets to uncover actionable insights.,1.9,Supply Chain Co.,"Denver, CO","Denver, CO",51-200 employees,1910,Subsidiary or Business Segment,Finance,Government,$10 to $25 million,None
Marketing Specialist,$113k-$207k,Create and execute marketing strategies to enhance brand awareness.,2.3,Finance First,"New York, NY","San Francisco, CA",501-1000 employees,1952,Private,Human Resources,Non-Profit,Less than $1 million,None
Administrative Assistant,$61k-$227k,Provide administrative support to ensure efficient office operations.,4.9,Supply Chain Co.,"Boston, MA","Atlanta, GA",1001-5000 employees,1926,Subsidiary or Business Segment,Networking & Security,Insurance,Less than $1 million,None
Administrative Assistant,$78k-$208k,Provide administrative support to ensure efficient office operations.,2.3,Secure Systems,"Washington, DC","Washington, DC",501-1000 employees,1991,Government,Software Development,Media,Less than $1 million,None
Marketing Specialist,$147k-$234k,Create and execute marketing strategies to enhance brand awareness.,1.9,Net Solutions,"Los Angeles, CA","Boston, MA",1001-5000 employees,1966,Government,Software Development,Business Services,Less than $1 million,None
Customer Support Representative,$71k-$213k,Handle customer inquiries and resolve issues promptly.,1.6,Web Wonders,"Denver, CO","San Francisco, CA",201-500 employees,1978,Public,Graphic Design,Business Services,$10 to $25 million,None
Graphic Designer,$108k-$250k,Design visual content for digital and print media.,1.8,Net Solutions,"San Francisco, CA","Denver, CO",1-50 employees,2018,Non-profit Organization,Marketing,Media,$10 to $25 million,None
Supply Chain Analyst,$125k-$214k,Optimize supply chain processes to improve efficiency.,1.5,Finance First,"New York, NY","Atlanta, GA",1-50 employees,1970,Subsidiary or Business Segment,Administrative Services,Government,$10 to $25 million,None
Customer Support Representative,$115k-$249k,Handle customer inquiries and resolve issues promptly.,4.7,Global Sales Group,"Washington, DC","Chicago, IL",51-200 employees,1913,Subsidiary or Business Segment,Logistics,Government,$25 to $50 million,None
Customer Support Representative,$91k-$214k,Handle customer inquiries and resolve issues promptly.,4.5,Media Magic,"Washington, DC","Austin, TX",201-500 employees,1950,Government,Research & Development,Media,$1 to $5 million,None
Sales Manager,$102k-$227k,Lead sales teams to achieve targets through strategic planning.,3.8,Web Wonders,"Atlanta, GA","Boston, MA",1001-5000 employees,2010,Government,Software Development,Non-Profit,More than $50 million,None
Graphic Designer,$75k-$176k,Design visual content for digital and print media.,3.5,Data Wizards,"Los Angeles, CA","Chicago, IL",51-200 employees,1964,Non-profit Organization,Software Development,Insurance,More than $50 million,None
Marketing Specialist,$147k-$195k,Create and execute marketing strategies to enhance brand awareness.,3.2,Plan Pros,"Washington, DC","Denver, CO",1001-5000 employees,1936,Subsidiary or Business Segment,Cybersecurity,Technology,$25 to $50 million,None
Marketing Specialist,$53k-$198k,Create and execute marketing strategies to enhance brand awareness.,1.6,Supply Chain Co.,"New York, NY","Austin, TX",201-500 employees,1996,Public,Research & Development,Biotech & Pharmaceuticals,$1 to $5 million,None
Administrative Assistant,$57k-$238k,Provide administrative support to ensure efficient office operations.,4.1,Design Dreams,"Atlanta, GA","New York, NY",201-500 employees,2004,Subsidiary or Business Segment,Marketing,Government,More than $50 million,None
Web Developer,$121k-$178k,Build and maintain websites to enhance user experience.,4.0,People Partners,"Denver, CO","Austin, TX",1001-5000 employees,2000,Government,Software Development,Technology,$10 to $25 million,None
Digital Media Manager,$103k-$250k,Manage online content and social media presence.,4.9,Net Solutions,"Atlanta, GA","New York, NY",1-50 employees,1995,Government,Graphic Design,Government,$10 to $25 million,None
Administrative Assistant,$78k-$231k,Provide administrative support to ensure efficient office operations.,3.8,Supply Chain Co.,"Los Angeles, CA","Washington, DC",1001-5000 employees,1994,Non-profit Organization,Graphic Design,"Arts, Entertainment & Recreation",$5 to $10 million,None
Financial Analyst,$72k-$237k,Conduct financial analysis and report on budgeting.,1.3,Global Sales Group,"Atlanta, GA","San Francisco, CA",501-1000 employees,1905,Subsidiary or Business Segment,Research & Development,Non-Profit,$5 to $10 million,None
Sales Manager,$70k-$224k,Lead sales teams to achieve targets through strategic planning.,4.4,Tech Innovate,"Los Angeles, CA","Seattle, WA",51-200 employees,1905,Public,Customer Service,Insurance,$25 to $50 million,None
Software Developer,$149k-$230k,Develop and maintain software applications based on client requirements.,3.5,Supply Chain Co.,"Boston, MA","Seattle, WA",1001-5000 employees,1970,Government,Marketing,Insurance,$25 to $50 million,None
Graphic Designer,$73k-$216k,Design visual content for digital and print media.,1.3,People Partners,"Chicago, IL","Denver, CO",1001-5000 employees,1968,Subsidiary or Business Segment,Marketing,Insurance,$1 to $5 million,None
Customer Support Representative,$77k-$234k,Handle customer inquiries and resolve issues promptly.,2.3,Net Solutions,"Boston, MA","Austin, TX",1001-5000 employees,1967,Subsidiary or Business Segment,Human Resources,Technology,Less than $1 million,None
Supply Chain Analyst,$94k-$207k,Optimize supply chain processes to improve efficiency.,2.0,Supply Chain Co.,"Washington, DC","Washington, DC",51-200 employees,1905,Government,Digital Media,Business Services,$10 to $25 million,None
Data Scientist,$119k-$242k,Analyze large datasets to uncover actionable insights.,2.1,Support Central,"Atlanta, GA","Los Angeles, CA",1001-5000 employees,2002,Non-profit Organization,Finance,Media,Less than $1 million,None
Data Scientist,$133k-$174k,Analyze large datasets to uncover actionable insights.,2.3,Market Movers,"San Francisco, CA","Chicago, IL",1001-5000 employees,1968,Private,Logistics,Business Services,$1 to $5 million,None
Supply Chain Analyst,$130k-$249k,Optimize supply chain processes to improve efficiency.,1.9,Supply Chain Co.,"Denver, CO","San Francisco, CA",51-200 employees,1968,Subsidiary or Business Segment,Logistics,Business Services,More than $50 million,None
Supply Chain Analyst,$69k-$153k,Optimize supply chain processes to improve efficiency.,2.8,Net Solutions,"New York, NY","San Francisco, CA",1-50 employees,1906,Public,Cybersecurity,Biotech & Pharmaceuticals,$25 to $50 million,None
Marketing Specialist,$123k-$179k,Create and execute marketing strategies to enhance brand awareness.,4.6,Media Magic,"Denver, CO","Seattle, WA",501-1000 employees,1955,Government,IT Services,Real Estate,More than $50 million,None
Marketing Specialist,$118k-$150k,Create and execute marketing strategies to enhance brand awareness.,3.6,Plan Pros,"San Francisco, CA","Washington, DC",1-50 employees,1989,Private,Networking & Security,Non-Profit,Less than $1 million,None
Data Scientist,$150k-$237k,Analyze large datasets to uncover actionable insights.,2.2,Market Movers,"Boston, MA","Seattle, WA",501-1000 employees,1950,Private,Finance,Retail,$25 to $50 million,None
Graphic Designer,$67k-$245k,Design visual content for digital and print media.,2.6,Secure Systems,"Atlanta, GA","Boston, MA",51-200 employees,1938,Government,IT Services,Non-Profit,$25 to $50 million,None
Sales Manager,$65k-$155k,Lead sales teams to achieve targets through strategic planning.,1.0,Plan Pros,"Denver, CO","Atlanta, GA",1001-5000 employees,1910,Government,Graphic Design,Insurance,$1 to $5 million,None
Digital Media Manager,$132k-$215k,Manage online content and social media presence.,1.6,Global Sales Group,"Austin, TX","Washington, DC",201-500 employees,1924,Private,Consumer Products,Government,Less than $1 million,None
Administrative Assistant,$146k-$220k,Provide administrative support to ensure efficient office operations.,2.8,People Partners,"San Francisco, CA","Boston, MA",1-50 employees,1932,Private,Graphic Design,Government,$10 to $25 million,None
Network Administrator,$95k-$166k,Maintain and troubleshoot company network issues.,3.7,Design Dreams,"San Francisco, CA","Boston, MA",1001-5000 employees,1908,Public,Networking & Security,Media,$10 to $25 million,None
Network Administrator,$128k-$234k,Maintain and troubleshoot company network issues.,2.2,Plan Pros,"Chicago, IL","Washington, DC",1001-5000 employees,1946,Government,Digital Media,Retail,Less than $1 million,None
Network Administrator,$81k-$250k,Maintain and troubleshoot company network issues.,1.9,Web Wonders,"Denver, CO","Boston, MA",201-500 employees,1917,Government,Customer Service,Media,$10 to $25 million,None
Financial Analyst,$95k-$249k,Conduct financial analysis and report on budgeting.,2.2,People Partners,"San Francisco, CA","Chicago, IL",1001-5000 employees,1910,Government,Administrative Services,Retail,$25 to $50 million,None
Graphic Designer,$83k-$243k,Design visual content for digital and print media.,4.5,Market Movers,"San Francisco, CA","New York, NY",1001-5000 employees,1980,Private,Administrative Services,Government,$25 to $50 million,None
